signal,threshold_p95,start_time,end_time,duration_hours,peak_value,fault_rate_percent
gw_lvl_site2_anomaly_score,75.79,2022-10-23 00:00:00,2022-10-31 23:00:00,216,100.0,55.55555555555556
gw_temp_site2_anomaly_score,75.69,2022-09-13 00:00:00,2022-09-16 23:00:00,96,78.92,100.0
4700008966_kW,0.028974043199999994,2022-06-14 10:00:00,2022-06-17 09:00:00,72,99.07577,100.0
4700008966_power_hour,0.028974043199999994,2022-06-14 10:00:00,2022-06-17 09:00:00,72,99.07577,100.0
gw_lvl_site2_anomaly_score,75.79,2022-06-20 00:00:00,2022-06-22 23:00:00,72,78.9,100.0
326416_ws_vigor,12.49281,2022-12-12 00:00:00,2022-12-13 23:00:00,48,94.24602,100.0
279831_ws_temp,0.0,2022-12-13 06:00:00,2022-12-14 23:00:00,42,28.114777,100.0
4700008966_kW,0.028974043199999994,2022-06-18 01:00:00,2022-06-19 12:00:00,36,55.475597,100.0
4700008966_power_hour,0.028974043199999994,2022-06-18 01:00:00,2022-06-19 12:00:00,36,55.475597,100.0
279831_ws_temp,0.0,2022-12-18 06:00:00,2022-12-19 17:00:00,36,22.417828,100.0
326417_ws_temp,0.0,2022-02-12 00:00:00,2022-02-12 23:00:00,24,46.671303,100.0
326416_ws_vigor,12.49281,2022-03-10 00:00:00,2022-03-10 23:00:00,24,55.107727,100.0
279831_ws_temp,0.0,2022-04-10 00:00:00,2022-04-10 23:00:00,24,28.46656,100.0
326416_ws_vigor,12.49281,2022-04-10 00:00:00,2022-04-10 23:00:00,24,47.044903,100.0
gw_temp_site2_anomaly_score,75.69,2022-04-13 00:00:00,2022-04-13 23:00:00,24,100.0,100.0
gw_temp_site2_anomaly_score,75.69,2022-05-04 00:00:00,2022-05-04 23:00:00,24,100.0,100.0
gw_temp_site2_anomaly_score,75.69,2022-06-04 00:00:00,2022-06-04 23:00:00,24,100.0,100.0
gw_lvl_site2_anomaly_score,75.79,2022-06-13 00:00:00,2022-06-13 23:00:00,24,97.05,100.0
gw_lvl_site2_anomaly_score,75.79,2022-06-16 00:00:00,2022-06-16 23:00:00,24,88.28,100.0
gw_temp_site2_anomaly_score,75.69,2022-07-04 00:00:00,2022-07-04 23:00:00,24,100.0,100.0
gw_temp_site2_anomaly_score,75.69,2022-08-04 00:00:00,2022-08-04 23:00:00,24,100.0,100.0
gw_temp_site2_anomaly_score,75.69,2022-09-04 00:00:00,2022-09-04 23:00:00,24,100.0,100.0
gw_temp_site2_anomaly_score,75.69,2022-10-04 00:00:00,2022-10-04 23:00:00,24,100.0,100.0
279805_ws_vigor,0.0,2022-10-06 00:00:00,2022-10-06 23:00:00,24,91.95816,100.0
279804_ws_level,0.0,2022-10-06 00:00:00,2022-10-06 23:00:00,24,64.9093,100.0
279625_ws_temp,0.0,2022-10-06 00:00:00,2022-10-06 23:00:00,24,45.561867,100.0
279623_ws_vigor,0.0,2022-10-06 00:00:00,2022-10-06 23:00:00,24,45.597984,100.0
gw_temp_site2_anomaly_score,75.69,2022-11-04 00:00:00,2022-11-04 23:00:00,24,100.0,100.0
279805_ws_vigor,0.0,2022-11-06 00:00:00,2022-11-06 23:00:00,24,38.50796,100.0
279804_ws_level,0.0,2022-11-06 00:00:00,2022-11-06 23:00:00,24,0.9826158,100.0
279625_ws_temp,0.0,2022-11-06 00:00:00,2022-11-06 23:00:00,24,10.406644,100.0
279623_ws_vigor,0.0,2022-11-06 00:00:00,2022-11-06 23:00:00,24,4.9125333,100.0
326416_ws_vigor,12.49281,2022-11-12 00:00:00,2022-11-12 23:00:00,24,61.27368,100.0
gw_temp_site2_anomaly_score,75.69,2022-12-04 00:00:00,2022-12-04 23:00:00,24,100.0,100.0
279805_ws_vigor,0.0,2022-12-06 00:00:00,2022-12-06 23:00:00,24,31.33071,100.0
279804_ws_level,0.0,2022-12-06 00:00:00,2022-12-06 23:00:00,24,0.52417356,100.0
279625_ws_temp,0.0,2022-12-06 00:00:00,2022-12-06 23:00:00,24,2.2274883,100.0
279623_ws_vigor,0.0,2022-12-06 00:00:00,2022-12-06 23:00:00,24,0.44656792,100.0
279805_ws_vigor,0.0,2022-12-18 00:00:00,2022-12-18 23:00:00,24,21.409298,100.0
4608927500_kvar_hour,0.0,2022-08-20 00:00:00,2022-08-20 18:00:00,19,72.56709,100.0
326416_ws_vigor,12.49281,2022-02-10 00:00:00,2022-02-10 17:00:00,18,54.873108,100.0
279831_ws_temp,0.0,2022-04-11 06:00:00,2022-04-11 23:00:00,18,26.21358,100.0
279805_ws_vigor,0.0,2022-05-10 00:00:00,2022-05-10 17:00:00,18,18.923113,100.0
279831_ws_temp,0.0,2022-05-11 00:00:00,2022-05-11 17:00:00,18,40.005177,100.0
279625_ws_temp,0.0,2022-05-29 12:00:00,2022-05-30 05:00:00,18,67.27056,33.33333333333333
279623_ws_vigor,0.0,2022-05-29 12:00:00,2022-05-30 05:00:00,18,67.27056,33.33333333333333
279805_ws_vigor,0.0,2022-06-10 06:00:00,2022-06-10 23:00:00,18,17.080309,100.0
279623_ws_vigor,0.0,2022-06-13 00:00:00,2022-06-13 17:00:00,18,0.25637093,100.0
279625_ws_temp,0.0,2022-06-13 18:00:00,2022-06-14 11:00:00,18,1.2493243,100.0
279805_ws_vigor,0.0,2022-06-14 00:00:00,2022-06-14 17:00:00,18,18.71166,100.0
279623_ws_vigor,0.0,2022-06-14 00:00:00,2022-06-14 17:00:00,18,1.3272582,100.0
279804_ws_level,0.0,2022-07-06 06:00:00,2022-07-06 23:00:00,18,0.8181406,100.0
279805_ws_vigor,0.0,2022-09-06 06:00:00,2022-09-06 23:00:00,18,87.56097,100.0
279804_ws_level,0.0,2022-09-06 06:00:00,2022-09-06 23:00:00,18,85.68549,100.0
279805_ws_vigor,0.0,2022-09-21 00:00:00,2022-09-21 17:00:00,18,14.859343,100.0
279804_ws_level,0.0,2022-10-05 00:00:00,2022-10-05 17:00:00,18,1.8494104,0.0
279805_ws_vigor,0.0,2022-10-17 00:00:00,2022-10-17 17:00:00,18,17.014421,100.0
279805_ws_vigor,0.0,2022-10-26 12:00:00,2022-10-27 05:00:00,18,14.04887,100.0
4700008966_kW,0.028974043199999994,2022-10-08 00:00:00,2022-10-08 16:00:00,17,73.80825,100.0
4700008966_power_hour,0.028974043199999994,2022-10-08 00:00:00,2022-10-08 16:00:00,17,73.80825,100.0
4608927500_kvar_hour,0.0,2022-04-19 14:00:00,2022-04-20 04:00:00,15,7.780993,66.66666666666666
4700008966_kW,0.028974043199999994,2022-09-08 09:00:00,2022-09-08 23:00:00,15,73.28938,100.0
4700008966_power_hour,0.028974043199999994,2022-09-08 09:00:00,2022-09-08 23:00:00,15,73.28938,100.0
temp_site1_anomaly_score,47.88,2022-12-13 15:00:00,2022-12-14 04:00:00,14,91.76,100.0
temp_site1_anomaly_score,47.88,2022-01-07 06:00:00,2022-01-07 18:00:00,13,93.39,0.0
4608927500_kvar_hour,0.0,2022-03-06 00:00:00,2022-03-06 12:00:00,13,99.005875,100.0
temp_site1_anomaly_score,47.88,2022-06-30 06:00:00,2022-06-30 18:00:00,13,97.0,100.0
temp_site1_anomaly_score,47.88,2022-07-21 06:00:00,2022-07-21 18:00:00,13,100.0,100.0
sfc_temp_site1_anomaly_score,47.41,2022-12-17 19:00:00,2022-12-18 07:00:00,13,85.59,100.0
temp_site1_anomaly_score,47.88,2022-12-17 20:00:00,2022-12-18 08:00:00,13,91.76,100.0
326417_ws_temp,0.0,2022-01-08 06:00:00,2022-01-08 17:00:00,12,30.892414,100.0
326417_ws_temp,0.0,2022-01-12 12:00:00,2022-01-12 23:00:00,12,52.89561,100.0
279805_ws_vigor,0.0,2022-01-13 06:00:00,2022-01-13 17:00:00,12,54.78728,100.0
279804_ws_level,0.0,2022-01-13 06:00:00,2022-01-13 17:00:00,12,54.78728,100.0
sfc_temp_site1_anomaly_score,47.41,2022-01-23 20:00:00,2022-01-24 07:00:00,12,92.35,100.0
4608927500_kvar_hour,0.0,2022-02-06 12:00:00,2022-02-06 23:00:00,12,74.45923,100.0
279805_ws_vigor,0.0,2022-02-17 18:00:00,2022-02-18 05:00:00,12,15.081477,0.0
279831_ws_temp,0.0,2022-03-03 06:00:00,2022-03-03 17:00:00,12,0.43047076,100.0
279805_ws_vigor,0.0,2022-04-10 12:00:00,2022-04-10 23:00:00,12,18.50835,100.0
326416_ws_vigor,12.49281,2022-05-10 00:00:00,2022-05-10 11:00:00,12,30.02729,100.0
279804_ws_level,0.0,2022-06-06 06:00:00,2022-06-06 17:00:00,12,0.6351738,100.0
279623_ws_vigor,0.0,2022-06-15 00:00:00,2022-06-15 11:00:00,12,0.1345144,100.0
326416_ws_vigor,12.49281,2022-07-09 12:00:00,2022-07-09 23:00:00,12,89.77493,100.0
326417_ws_temp,0.0,2022-08-11 06:00:00,2022-08-11 17:00:00,12,32.80521,100.0
4700008966_kW,0.028974043199999994,2022-08-17 20:00:00,2022-08-18 07:00:00,12,45.40458,100.0
4700008966_power_hour,0.028974043199999994,2022-08-17 20:00:00,2022-08-18 07:00:00,12,45.40458,100.0
