signal,threshold_p95,start_time,end_time,duration_hours,peak_value,fault_within_24h,fault_within_48h,fault_within_72h,fault_within_7d,hours_to_first_fault
238045_ws_temp,0.0,2022-01-02 04:00:00,2022-01-02 04:00:00,1,0.4125608,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-02 06:00:00,2022-01-02 06:00:00,1,0.5722623,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-02 13:00:00,2022-01-02 13:00:00,1,0.57416457,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-13 06:00:00,2022-01-13 06:00:00,1,22.03671,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-13 21:00:00,2022-01-13 21:00:00,1,0.09051441,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-18 20:00:00,2022-01-18 20:00:00,1,3.1918004,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-19 23:00:00,2022-01-19 23:00:00,1,0.33826527,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-20 11:00:00,2022-01-20 11:00:00,1,0.087815784,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-21 20:00:00,2022-01-21 20:00:00,1,0.0676288,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-21 23:00:00,2022-01-21 23:00:00,1,0.100696445,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-22 08:00:00,2022-01-22 08:00:00,1,1.4012477,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-22 14:00:00,2022-01-22 14:00:00,1,0.12965277,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-22 19:00:00,2022-01-22 19:00:00,1,0.23300841,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-23 07:00:00,2022-01-23 07:00:00,1,0.2819241,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-25 20:00:00,2022-01-25 20:00:00,1,0.095721014,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-26 00:00:00,2022-01-26 00:00:00,1,0.16932741,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-27 19:00:00,2022-01-27 19:00:00,1,0.17745376,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-28 19:00:00,2022-01-28 19:00:00,1,0.06413135,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-29 05:00:00,2022-01-29 05:00:00,1,0.45907733,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-29 11:00:00,2022-01-29 11:00:00,1,0.3637291,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-29 23:00:00,2022-01-29 23:00:00,1,0.2734936,1,1,1,1,1.0
238045_ws_temp,0.0,2022-01-30 21:00:00,2022-01-30 21:00:00,1,0.06572343,1,1,1,1,1.0
238045_ws_temp,0.0,2022-02-07 04:00:00,2022-02-07 04:00:00,1,11.99279,1,1,1,1,20.0
238045_ws_temp,0.0,2022-02-18 21:00:00,2022-02-18 21:00:00,1,0.4832366,0,0,0,0,171.0
238045_ws_temp,0.0,2022-02-20 18:00:00,2022-02-20 18:00:00,1,0.12081089,0,0,0,1,126.0
238045_ws_temp,0.0,2022-03-14 18:00:00,2022-03-14 18:00:00,1,0.2920395,1,1,1,1,1.0
238045_ws_temp,0.0,2022-03-16 20:00:00,2022-03-16 21:00:00,2,5.53142,1,1,1,1,1.0
238045_ws_temp,0.0,2022-03-17 15:00:00,2022-03-17 15:00:00,1,0.20694718,0,0,0,0,345.0
238045_ws_temp,0.0,2022-03-17 19:00:00,2022-03-17 19:00:00,1,0.09468931,0,0,0,0,341.0
238045_ws_temp,0.0,2022-03-22 17:00:00,2022-03-22 17:00:00,1,0.9250166,0,0,0,0,223.0
238045_ws_temp,0.0,2022-03-26 13:00:00,2022-03-26 13:00:00,1,0.1697013,0,0,0,1,131.0
238045_ws_temp,0.0,2022-03-28 06:00:00,2022-03-28 06:00:00,1,0.48121634,0,0,0,1,90.0
238045_ws_temp,0.0,2022-04-03 16:00:00,2022-04-03 16:00:00,1,0.5761087,1,1,1,1,1.0
238045_ws_temp,0.0,2022-04-05 05:00:00,2022-04-05 05:00:00,1,0.7926902,1,1,1,1,19.0
238045_ws_temp,0.0,2022-04-05 09:00:00,2022-04-05 09:00:00,1,0.3172816,1,1,1,1,15.0
238045_ws_temp,0.0,2022-04-15 18:00:00,2022-04-15 18:00:00,1,0.47734037,1,1,1,1,1.0
238045_ws_temp,0.0,2022-05-02 06:00:00,2022-05-02 06:00:00,1,0.42530575,1,1,1,1,1.0
238045_ws_temp,0.0,2022-05-03 11:00:00,2022-05-03 11:00:00,1,1.1557858,1,1,1,1,1.0
238045_ws_temp,0.0,2022-05-03 17:00:00,2022-05-03 17:00:00,1,0.64659923,1,1,1,1,1.0
238045_ws_temp,0.0,2022-05-10 08:00:00,2022-05-10 08:00:00,1,51.963333,1,1,1,1,1.0
238045_ws_temp,0.0,2022-05-11 14:00:00,2022-05-11 14:00:00,1,19.165031,1,1,1,1,1.0
238045_ws_temp,0.0,2022-05-11 22:00:00,2022-05-11 22:00:00,1,17.14463,1,1,1,1,1.0
238045_ws_temp,0.0,2022-05-14 01:00:00,2022-05-14 02:00:00,2,6.124337,0,0,0,0,383.0
238045_ws_temp,0.0,2022-05-14 07:00:00,2022-05-14 07:00:00,1,0.25800857,0,0,0,0,377.0
238045_ws_temp,0.0,2022-05-14 16:00:00,2022-05-14 16:00:00,1,1.3403507,0,0,0,0,368.0
238045_ws_temp,0.0,2022-05-14 18:00:00,2022-05-14 18:00:00,1,5.4116697,0,0,0,0,366.0
238045_ws_temp,0.0,2022-05-17 17:00:00,2022-05-17 17:00:00,1,1.0400966,0,0,0,0,295.0
238045_ws_temp,0.0,2022-05-17 19:00:00,2022-05-17 19:00:00,1,1.0318254,0,0,0,0,293.0
238045_ws_temp,0.0,2022-05-24 11:00:00,2022-05-24 11:00:00,1,0.9234532,0,0,0,1,133.0
238045_ws_temp,0.0,2022-05-24 16:00:00,2022-05-24 17:00:00,2,1.3455806,0,0,0,1,128.0
238045_ws_temp,0.0,2022-06-01 21:00:00,2022-06-01 21:00:00,1,0.1002522,1,1,1,1,1.0
238045_ws_temp,0.0,2022-06-03 17:00:00,2022-06-03 17:00:00,1,0.7277396,1,1,1,1,1.0
238045_ws_temp,0.0,2022-06-10 03:00:00,2022-06-10 03:00:00,1,11.64103,1,1,1,1,1.0
238045_ws_temp,0.0,2022-06-11 07:00:00,2022-06-11 07:00:00,1,25.69297,1,1,1,1,1.0
238045_ws_temp,0.0,2022-06-16 09:00:00,2022-06-16 09:00:00,1,4.597692,1,1,1,1,1.0
238045_ws_temp,0.0,2022-06-18 08:00:00,2022-06-18 08:00:00,1,8.842258,1,1,1,1,1.0
238045_ws_temp,0.0,2022-06-26 08:00:00,2022-06-26 08:00:00,1,2.0496068,1,1,1,1,1.0
238045_ws_temp,0.0,2022-06-26 17:00:00,2022-06-26 17:00:00,1,12.382181,1,1,1,1,1.0
238045_ws_temp,0.0,2022-06-29 17:00:00,2022-06-29 17:00:00,1,15.280849,1,1,1,1,1.0
238045_ws_temp,0.0,2022-06-29 23:00:00,2022-06-29 23:00:00,1,4.8203583,1,1,1,1,1.0
238045_ws_temp,0.0,2022-07-03 13:00:00,2022-07-03 13:00:00,1,1.8682562,1,1,1,1,1.0
238045_ws_temp,0.0,2022-07-05 09:00:00,2022-07-05 09:00:00,1,0.6392893,1,1,1,1,15.0
238045_ws_temp,0.0,2022-08-01 06:00:00,2022-08-01 06:00:00,1,0.3158852,1,1,1,1,1.0
238045_ws_temp,0.0,2022-08-01 08:00:00,2022-08-01 08:00:00,1,95.76311,1,1,1,1,1.0
238045_ws_temp,0.0,2022-08-01 18:00:00,2022-08-01 19:00:00,2,81.53441,1,1,1,1,1.0
238045_ws_temp,0.0,2022-08-01 21:00:00,2022-08-01 21:00:00,1,30.85987,1,1,1,1,1.0
238045_ws_temp,0.0,2022-08-05 02:00:00,2022-08-05 02:00:00,1,1.216279,1,1,1,1,22.0
238045_ws_temp,0.0,2022-08-05 21:00:00,2022-08-05 21:00:00,1,7.9848976,1,1,1,1,3.0
238045_ws_temp,0.0,2022-08-07 00:00:00,2022-08-07 00:00:00,1,2.5013747,1,1,1,1,24.0
238045_ws_temp,0.0,2022-08-07 02:00:00,2022-08-07 04:00:00,3,12.587938,1,1,1,1,22.0
238045_ws_temp,0.0,2022-09-01 01:00:00,2022-09-01 02:00:00,2,75.7625,1,1,1,1,1.0
238045_ws_temp,0.0,2022-09-01 17:00:00,2022-09-01 17:00:00,1,62.06383,1,1,1,1,1.0
238045_ws_temp,0.0,2022-09-02 07:00:00,2022-09-02 07:00:00,1,0.40507546,1,1,1,1,1.0
238045_ws_temp,0.0,2022-09-04 16:00:00,2022-09-04 16:00:00,1,0.29339346,1,1,1,1,1.0
238045_ws_temp,0.0,2022-09-08 16:00:00,2022-09-08 16:00:00,1,27.138445,1,1,1,1,1.0
238045_ws_temp,0.0,2022-09-14 03:00:00,2022-09-14 03:00:00,1,9.972162,1,1,1,1,1.0
238045_ws_temp,0.0,2022-09-29 16:00:00,2022-09-29 16:00:00,1,3.885575,1,1,1,1,1.0
238045_ws_temp,0.0,2022-10-01 04:00:00,2022-10-01 04:00:00,1,0.14136724,1,1,1,1,1.0
238045_ws_temp,0.0,2022-10-01 07:00:00,2022-10-01 07:00:00,1,3.638648,1,1,1,1,1.0
238045_ws_temp,0.0,2022-10-01 16:00:00,2022-10-01 16:00:00,1,0.13199037,1,1,1,1,1.0
238045_ws_temp,0.0,2022-10-01 20:00:00,2022-10-01 20:00:00,1,0.10784808,1,1,1,1,1.0
238045_ws_temp,0.0,2022-10-02 07:00:00,2022-10-02 07:00:00,1,0.16901197,1,1,1,1,1.0
238045_ws_temp,0.0,2022-10-03 20:00:00,2022-10-03 20:00:00,1,0.5440022,1,1,1,1,1.0
238045_ws_temp,0.0,2022-10-04 10:00:00,2022-10-04 10:00:00,1,0.62136346,1,1,1,1,1.0
238045_ws_temp,0.0,2022-10-25 21:00:00,2022-10-25 21:00:00,1,24.87299,1,1,1,1,1.0
238045_ws_temp,0.0,2022-11-01 06:00:00,2022-11-01 06:00:00,1,0.09738861,1,1,1,1,1.0
238045_ws_temp,0.0,2022-11-02 06:00:00,2022-11-02 06:00:00,1,0.5795786,1,1,1,1,1.0
238045_ws_temp,0.0,2022-11-08 11:00:00,2022-11-08 11:00:00,1,17.081316,1,1,1,1,1.0
238045_ws_temp,0.0,2022-11-09 14:00:00,2022-11-09 14:00:00,1,6.184704,1,1,1,1,1.0
