feature,normal_count,fault_count,normal_missing_pct,fault_missing_pct,normal_mean,fault_mean,normal_median,fault_median,normal_p75,fault_p75,normal_p90,fault_p90,normal_p95,fault_p95,normal_nonzero_pct,fault_nonzero_pct,mean_difference,mean_ratio,nonzero_difference_pp,abs_mean_difference
gw_lvl_site2_anomaly_score,2208,5088,4.208242950108461,20.8955223880597,20.153913043478262,37.379905660377354,12.36,39.765,26.59,52.63,50.03,70.97,63.47,75.79,92.3913043478261,98.58490566037736,17.22599261689909,1.85472198772205,6.193601312551266,17.22599261689909
gw_temp_site2_anomaly_score,2208,5088,4.208242950108461,20.8955223880597,25.810217391304352,39.167877358490564,21.75,29.86,39.345,57.8475,58.76,73.3,64.35,78.92,73.91304347826086,97.16981132075472,13.357659967186212,1.5175338031707746,23.256767842493858,13.357659967186212
temp_site1_anomaly_score,2304,6432,0.04338394793926247,0.0,9.012968749999999,14.455250310945273,6.38,7.29,9.36,16.9,18.25600000000002,36.36,22.765499999999996,53.87,100.0,99.89116915422885,5.442281560945274,1.6038278520543272,-0.10883084577115198,5.442281560945274
sfc_temp_site1_anomaly_score,2304,6432,0.04338394793926247,0.0,9.95935763888889,14.540419776119402,5.99,6.72,8.9975,19.49,25.79,33.24,31.607,52.42949999999998,99.78298611111111,99.87562189054727,4.5810621372305125,1.4599756634245737,0.09263577943615076,4.5810621372305125
326416_ws_vigor,600,3870,73.96963123644251,39.832089552238806,0.39463572797999996,2.8955868087968994,0.0,0.0,0.0176080385,1.250309,1.3684498,2.3246372,1.3684498,18.699415,28.000000000000004,36.74418604651163,2.5009510808168995,7.337366091049027,8.744186046511626,2.5009510808168995
4700008966_power_hour,2305,6432,0.0,0.0,0.24729147127071585,1.5812474341646456,0.0,0.0,0.0,0.0,0.0,0.0,0.0066490791999999285,0.053726694149999234,5.162689804772234,7.726990049751244,1.3339559628939297,6.394265948758162,2.5643002449790098,1.3339559628939297
4700008966_kW,2305,6432,0.0,0.0,0.271202961075488,1.5812474341646456,0.0,0.0,0.0,0.0,0.0,0.0,0.0066490791999999285,0.053726694149999234,5.162689804772234,7.726990049751244,1.3100444730891576,5.830494725772972,2.5643002449790098,1.3100444730891576
279805_ws_vigor,2292,6432,0.5639913232104121,0.0,0.04578436308900523,1.1584763588059703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5235602094240838,4.384328358208956,1.1126919957169652,25.30288248312817,3.860768148784872,1.1126919957169652
326417_ws_temp,600,3870,73.96963123644251,39.832089552238806,0.0,1.0437320899224807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.875968992248062,1.0437320899224807,,3.875968992248062,1.0437320899224807
319235_ws_temp,2268,6432,1.6052060737527116,0.0,0.0,0.5471989783488806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1455223880597014,0.5471989783488806,,2.1455223880597014,0.5471989783488806
279831_ws_temp,2262,6432,1.8655097613882863,0.0,0.17047165684350132,0.5593262134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5305039787798408,3.078358208955224,0.38885455658933454,3.281051077871062,2.5478542301753833,0.38885455658933454
279804_ws_level,2292,6432,0.5639913232104121,0.0,0.21960054819371727,0.4201070705998134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0471204188481675,2.8917910447761193,0.20050652240609612,1.91305110144453,1.8446706259279517,0.20050652240609612
279623_ws_vigor,2256,6000,2.125813449023861,6.7164179104477615,0.18806614281914893,0.33920777326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7978723404255319,2.9000000000000004,0.15114163044085108,1.8036620955542977,2.1021276595744682,0.15114163044085108
4408411600_kW,1658,4920,28.06941431670282,23.507462686567166,0.08037112475271412,0.2242930894674797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4981905910735827,3.9430894308943087,0.1439219647147656,2.7907173149260345,0.4448988398207261,0.1439219647147656
279625_ws_temp,2256,6000,2.125813449023861,6.7164179104477615,0.18446510079787237,0.320808187892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5319148936170213,2.8000000000000003,0.13634308709412762,1.7391267318555046,2.268085106382979,0.13634308709412762
4408411600_power_hour,1658,4920,28.06941431670282,23.507462686567166,0.42935192810856454,0.3014837362963414,0.0,0.0,0.0,0.0,0.0,0.0,0.07180026599999924,0.2726403185000003,5.3679131483715326,6.727642276422764,-0.12786819181222314,0.702183259370642,1.3597291280512316,0.12786819181222314
238045_ws_temp,2305,6432,0.0,0.0,0.03514696021258134,0.1356318517790734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1713665943600868,1.166044776119403,0.10048489156649204,3.85899238394227,-0.005321818240683784,0.10048489156649204
4608927500_kvar_hour,2305,6432,0.0,0.0,0.5655018212598698,0.47031087834219526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.950108459869848,3.9800995024875623,-0.09519094291767455,0.8316699622547623,1.0299910426177141,0.09519094291767455
