signal,p95_threshold,deviation_observations,deviation_share_percent,fault_rate_when_deviation,fault_rate_without_deviation,lift,baseline_relative_fault_rate,fault_observations_during_deviation,multi_signal_events,multi_signal_participation_percent,risk_class,risk_rank
gw_temp_site2_anomaly_score,75.69,312,3.5710198008469725,100.0,72.64094955489614,1.3766339869281046,135.83644278606965,312,,,HIGH,1
326417_ws_temp,0.0,150,1.7168364427148908,100.0,73.15709793874461,1.3669213626233685,135.83644278606965,150,,,HIGH,2
319235_ws_temp,0.0,138,1.5794895272976994,100.0,73.19455750668682,1.3662217985382905,135.83644278606965,138,,,HIGH,3
326416_ws_vigor,12.49281,222,2.5409179352180384,97.2972972972973,73.00058719906049,1.3328289679641032,132.16518757563534,216,,,HIGH,4
279805_ws_vigor,0.0,294,3.364999427721186,95.91836734693877,72.84140708279048,1.3168110170897627,130.2920981825566,282,,,HIGH,5
279831_ws_temp,0.0,210,2.403571019800847,94.28571428571428,73.10894804737892,1.2896603877354598,128.0743603411514,198,,,HIGH,6
279625_ws_temp,0.0,180,2.060203731257869,93.33333333333333,73.20322542947295,1.2749893571732651,126.78067993366501,168,,,HIGH,7
temp_site1_anomaly_score,47.88,436,4.990271260157949,91.28440366972477,72.6900373448982,1.2558035049094884,123.99748676343056,398,,,HIGH,8
sfc_temp_site1_anomaly_score,47.41,434,4.967380107588417,91.01382488479263,72.70865952065519,1.2517604572112526,123.62994216704497,395,,,HIGH,9
279623_ws_vigor,0.0,192,2.1975506466750603,90.625,73.23581041544763,1.237441075423458,123.10177627487562,174,,,MODERATE,10
279804_ws_level,0.0,210,2.403571019800847,88.57142857142857,73.24967749501583,1.209171584099538,120.31227789623313,186,,,MODERATE,11
4700008966_kW,0.028974043199999994,437,5.001716836442715,83.29519450800915,73.10843373493977,1.139337696797093,113.1452292314173,364,,,MODERATE,12
4700008966_power_hour,0.028974043199999994,437,5.001716836442715,83.29519450800915,73.10843373493977,1.139337696797093,113.1452292314173,364,,,MODERATE,13
4408411600_power_hour,0.22959332949999978,329,3.7655945976879934,81.15501519756839,73.32302568981922,1.106814870691249,110.23808578687112,267,,,MODERATE,14
4608927500_kvar_hour,0.0,324,3.708366716264164,79.01234567901234,73.41019850231784,1.0763129277809762,107.32755973220318,256,,,WEAK,15
4408411600_kW,0.0,252,2.884285223761016,76.98412698412699,73.51797289334118,1.0471470302345585,104.57249960514888,194,,,WEAK,16
238045_ws_temp,0.0,102,1.1674487810461256,73.52941176470588,73.61899247249566,0.9987831848171076,99.87973734269828,75,,,LOW,17
gw_lvl_site2_anomaly_score,75.79,336,3.845713631681355,71.42857142857143,73.70551124866087,0.9691076042820229,97.02603056147832,240,,,LOW,18
